compound_id,SMILES
ZINC3872123,CN1CCN(CC1)\C2=N\C3=C(NC4=C2C=CC=C4)C=CC(=C3)Cl
ZINC25973757,CN1CCN(CC1)C/2=N/C3=C(NC4=C2C=C(Cl)C=C4)C=CC=C3
CHEMBL3735364,FC(F)(F)C1=CC=C(C=C1)C2=CC=CC=C2C(=O)NC3=CC4=C(CN(CC4)CC5=NC=N[NH]5)C=C3
ZINC33972842,FC(F)(F)C1=CC=C(C=C1)C2=CC=CC=C2C(=O)NC3=CC4=C(CN(CC4)CC5=NC=N[NH]5)C=C3
ZINC68201066,COC1=C(OC)N=C(CNC(=O)C2=CC(=CN=C2C3=NC=CC=C3)C4=CC(=CN=C4)Cl)C=C1
CHEMBL3338866,COC1=C(OC)N=C(CNC(=O)C2=CC(=CN=C2C3=NC=CC=C3)C4=CC(=CN=C4)Cl)C=C1
ZINC98052567,CC1=C([N](N=C1C(=O)NCC2=CC=CN=C2)C3=CC=C(Cl)C=C3Cl)C4=CC=C(Cl)C=C4
CHEMBL1324020,Cl.Cl.Cc1cccc(c1)CN2CCN(CC2)C(c3ccc(Cl)cc3)c4ccccc4
CHEMBL1623,CC1=CC=CC(=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(Cl)C=C4
CHEMBL1201271,CC(C)(C)C1=CC=C(CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(Cl)C=C4)C=C1
Z4911889288,CC1(C)COc2c(S(=O)(=O)NCC3CCCC3NS(C)(=O)=O)cnn2C1
PV-001934538653,CC1(C)COc2c(S(=O)(=O)NCC3CCCC3NS(C)(=O)=O)cnn2C1
CHEMBL1191,Cc2nnc(NS(=O)(=O)c1ccc(N)cc1)s2
1161709,Cc1ccc(cc1)S(=O)(=O)N1CCOCCN(CCOCC1)S(=O)(=O)c1ccc(C)cc1
93963894,Cc1ccc(cc1)S(=O)(=O)N1CCN(CC(=O)N(CCN(C(=O)C1)S(=O)(=O)c1ccc(C)cc1)S(=O)(=O)c1ccc(C)cc1)S(=O)(=O)c1ccc(C)cc1
Z1593435771,Cc1sc2ncc(C(=O)N3C4CCC3CC(=O)NC4)c(=O)n2c1C
CHEMBL1616328,CN1[C@H]2CC[C@@H]1CC(C2)OC(=O)C3\C=N/C4=CC=CC=C34
ZINC19796161,CN1CCN(CC1)CC(=O)N2C3=C(NC(=O)C4=CSC(=C24)C)C=CC=C3
CHEMBL2360490,Cl.Clc2ccccc2CNC(C)Cc1ccccc1
CHEMBL2062162,ClC1=C(CNC[C@H]2CC[C@@H](CC2)CNCC3=C(Cl)C=CC=C3)C=CC=C1
CHEMBL1513392,ClC1=C(CNC[C@H]2CC[C@@H](CC2)CNCC3=C(Cl)C=CC=C3)C=CC=C1
ZINC38214379,CCOC(=O)C1=CC=C(C=C1)N(C)C2=CSC(=N2)C3=CC=CC=C3
CHEMBL4303651,CCOC(=O)C1=CC=C(C=C1)N(C)C2=CSC(=N2)C3=CC=CC=C3
ZINC65731313,CC1=NC(=C(S1)C2=C(F)C=CC=C2)C(=O)N3CCC[C@H]3CC4=NN=C(O4)C5=CC=CC=C5
Z2177427267,CCOC(=O)C1(S(C)(=O)=O)CCN(C(=O)CNS(=O)(=O)c2cccnc2)CC1
CHEMBL817,Cc1ccc(cc1)S(=O)(=O)NC(=O)NN2CCCCCC2
ZINC57512,Cc1ccc(cc1)S(=O)(=O)NC(=O)NN2CCCCCC2
CHEMBL498,O=S(=O)(NC(=O)NCCC)c1ccc(Cl)cc1
ZINC1530599,O=S(=O)(NC(=O)NCCC)c1ccc(Cl)cc1
CHEMBL3182384,Cl.CCN2CCCC2CNC(=O)c1cc(ccc1OC)S(=O)(=O)CC
Z4089615610,CCOc1cccnc1S(=O)(=O)NCc1cn(CCOC)c(=O)[nH]c1=O
ZINC7673,COC[C@@H](NC(C)=O)C(=O)NCC1=CC=CC=C1
CHEMBL58323,COC[C@@H](NC(C)=O)C(=O)NCC1=CC=CC=C1
Z2433325669,O=C(C1CCCc2ccccc12)N1CCC(CC1)C1CCCN1
PV-001847295964,CCCN(CCC)S(=O)(=O)N1CCN(C(=O)c2ccsc2S(N)(=O)=O)CC1
Z4911889632,CCCN(CCC)S(=O)(=O)N1CCN(C(=O)c2sccc2S(N)(=O)=O)CC1
CHEMBL3186037,CC(C)CNC1=CC=NC(=N1)NCC2=CSC(=N2)C3=CC=CC=C3
ZINC71773506,CC(C)CNC1=CC=NC(=N1)NCC2=CSC(=N2)C3=CC=CC=C3
ZINC43202141,COC[C@H](NC(=O)[C@H](COC)NC(=O)C1=CN=C(C)S1)C(=O)N[C@@H](CC2=CC=CC=C2)C(=O)[C@@]3(C)CO3
CHEMBL1908391,CN1CCN(CC1)CC2=CC=C(C=C2)C(=O)NC3=CC=C(C)C(=C3)NC4=NC(=CS4)C5=CC=CN=C5
ZINC34177219,CN1CCN(CC1)CC2=CC=C(C=C2)C(=O)NC3=CC=C(C)C(=C3)NC4=NC(=CS4)C5=CC=CN=C5
Z4392767587,Cc1sccc1S(=O)(=O)N1CCN(Cc2ccno2)CC1
PV-001844027149,CC(C)CC1C(=O)NCCN1C(=O)CNS(=O)(=O)c1ccccc1[N+](=O)[O-]
Z4911889386,CC(C)CC1C(=O)NCCN1C(=O)CNS(=O)(=O)c1ccccc1[N+](=O)[O-]
CHEMBL193,COC(=O)\C1=C(/C)N\C(=C(/C1C2=C(C=CC=C2)[N+]([O-])=O)C(=O)OC)C
ZINC853334,COC1=CC(=C(NC2=NC(=CS2)C3=C(C)N=C4N=CC=C[N]34)C(=C1)Br)Br
CHEMBL468984,COC1=CC(=C(NC2=NC(=CS2)C3=C(C)N=C4N=CC=C[N]34)C(=C1)Br)Br
ZINC3767,O=C(O)Cc2onc(c1ccc(OC)cc1)c2c3ccc(OC)cc3
CHEMBL406,NS(=O)(=O)c1cc(ccc1Cl)C(=O)NN2c3ccccc3CC2C
ZINC6117343,N[C@H]1CC2=CC=CC=C2N(O)C1=O
CHEMBL2047851,N[C@H]1CC2=CC=CC=C2N(O)C1=O
PV-001939641731,CCN(CC)S(=O)(=O)c1cccc(S(=O)(=O)N2CCN3C(CNS3(=O)=O)C2)c1
Z4911889457,CCN(CC)S(=O)(=O)c1cccc(S(=O)(=O)N2CCN3C(CNS3(=O)=O)C2)c1
CHEMBL1449962,COC1=C(Cl)C=C(OC)C(=C1)NC(=O)C2=NOC(=C2)C3CC3
ZINC85540202,COC1=CN=C(O[C@@H]2C[C@H](N(C2)C(=O)[C@@H](NC(=O)OC(C)(C)C)C(C)(C)C)C(=O)N[C@@]3(C[C@H]3C=C)C(=O)N[S+]([O-])(=O)C4CC4)C5=CC(=CC=C15)Cl
