trial_number,value,state,duration,lr,batch_size,layer1_size,layer2_size,layer3_size,lambda1_metaweight
287,0.6167684352281047,PRUNED,0:00:00.858933,0.006964443365548523,21,30,37,36,1.352160766660245
288,1.7793910003279987,PRUNED,0:00:01.538794,3.0881150160036697e-06,11,29,32,58,0.5811824545969811
289,0.34515861622237626,PRUNED,0:00:04.155030,0.011680540299970562,8,37,28,35,1.2868264265275169
290,0.3628566529355934,PRUNED,0:00:03.910029,0.01104910029515891,8,20,29,34,0.5515778535379607
291,0.600444475223559,PRUNED,0:00:00.890258,0.003598164717930476,20,37,38,32,1.2902195825127358
292,0.0038668690188085695,COMPLETE,0:01:00.151855,0.005730525311058581,8,27,35,35,0.6964520124734627
293,0.6131076879736757,PRUNED,0:00:00.720005,0.0054934136246628205,27,27,56,60,0.713152012123102
294,0.5995432484590589,PRUNED,0:00:00.805813,0.005591095770393101,25,31,56,60,0.5255812309631587
295,0.6809369357360178,PRUNED,0:00:00.992258,0.0037560768665020373,18,31,46,45,0.6357729298306535
296,0.2845640851562822,PRUNED,0:00:12.045374,0.004124756066183551,4,41,31,48,1.4960037357479297
297,0.0051776689915320594,COMPLETE,0:01:56.159037,0.002068551348770039,4,41,31,38,1.4950173185084508
298,0.28078379072852033,PRUNED,0:00:11.902942,0.0019221433307580972,4,41,39,48,1.3148891880618436
299,0.20857842943036609,PRUNED,0:00:20.403733,0.0032661000997197915,7,30,32,21,1.0850139837332677
300,0.004015004940541902,COMPLETE,0:01:01.718340,0.0023342671036729245,8,28,50,31,1.3425902821210036
301,0.6480619088858783,PRUNED,0:00:01.864702,0.002200633867136003,9,31,50,29,1.3322626916366471
302,0.9488390829674033,PRUNED,0:00:00.326778,0.005228643484014053,75,30,51,29,1.4148163718762907
303,0.6129535844012135,PRUNED,0:00:01.843464,0.0024271415684962447,9,28,33,38,1.258130468217341
304,0.31982729727981474,PRUNED,0:00:03.786980,0.0033487259976240926,9,46,54,38,1.264782242922766
305,0.2579344118223388,PRUNED,0:00:03.705268,0.0034121460460148933,19,47,37,31,1.4600114131417552
306,0.7010529081221499,PRUNED,0:00:00.908380,0.004766530499855999,21,45,37,31,0.5725046303344491
307,0.7183271081990035,PRUNED,0:00:01.087442,0.0035934752029630427,17,49,49,34,1.3558936436088092
308,1.3513153585894355,PRUNED,0:00:00.195396,0.005433731250534141,225,30,49,21,1.348740889820712
309,0.005594986959709921,COMPLETE,0:00:36.432920,0.004087804183086991,15,27,32,41,0.5182118141666328
310,1.7443596834228152,PRUNED,0:00:00.225178,0.0005964598782056781,153,28,32,41,1.0050882111515544
311,0.7364626921079902,PRUNED,0:00:01.361128,0.0016923463497741057,13,22,34,51,0.5259182382247788
312,0.004390027821535272,COMPLETE,0:01:03.445315,0.006443599583579571,8,32,30,32,0.9755180417040522
313,0.7185050424857017,PRUNED,0:00:00.584544,0.005949931970679076,33,38,35,35,0.9804468950863383
314,1.182476387651109,PRUNED,0:00:01.781502,0.0004244714630237413,12,32,30,40,0.6195253571983488
315,1.4342868736812047,PRUNED,0:00:00.188705,0.004433545229079131,185,35,38,33,1.3007311361942024
316,0.3159210305617477,PRUNED,0:00:01.414295,0.008419879865595977,25,43,33,32,0.562992421532726
