trial_number,value,state,duration,lr,batch_size,layer1_size,layer2_size,layer3_size,w_dx,w_dz
711,2.185433638723273,PRUNED,0:00:00.995681,6.461947447247258e-05,12,145,156,38,0.20744476387115118,1.0381503616647811
712,0.4783813760046534,PRUNED,0:00:05.162613,0.003198666978788052,4,146,156,36,0.2533985227459425,1.1908546190880764
713,0.33410304160876636,PRUNED,0:00:10.199878,0.0028755514730717103,4,138,141,74,0.2502564743655247,1.1905760267352936
714,0.3550823947739022,PRUNED,0:00:07.415529,0.0019032532180761619,4,37,146,34,0.24753411384068347,1.1920740652432704
715,0.4278060918919776,PRUNED,0:00:02.313436,0.002578961508050159,9,37,149,50,0.3265754075228308,1.1347852150976985
716,1.3884453789020579,PRUNED,0:00:00.485698,0.001547960061105054,31,138,141,35,0.10046910369540359,1.18200328682743
717,1.5385130736886001,PRUNED,0:00:00.494155,0.0014669851271354977,29,43,163,43,0.1914697895362927,1.0919430963336592
718,1.0615873005465313,PRUNED,0:00:00.696678,0.002595842114060826,17,28,164,31,0.1912967281437296,1.2771785961285047
719,0.0044886324950107175,COMPLETE,0:00:23.386180,0.0026417159152781412,15,28,157,53,0.13900336615893555,1.0136913426576686
720,0.28060945533668463,PRUNED,0:00:09.777445,0.004896773219418794,12,32,151,53,0.1319283692392506,1.1438865394694053
721,0.4892171107021421,PRUNED,0:00:01.952308,0.006950698412232171,12,32,151,53,0.14347774490122886,1.1413222852820701
722,0.004481588501990682,COMPLETE,0:00:29.069130,0.001920844859292351,11,30,150,53,0.15459306694802558,1.1411134112058168
723,3.0248155196507773,PRUNED,0:00:00.237172,0.0020821242563898073,100,32,151,54,0.9407663055946841,1.0142307603808343
724,0.004913883280604384,COMPLETE,0:00:29.574338,0.004710894955305012,11,29,153,52,0.1576372272117519,1.1340415024641664
725,0.2289189167761658,PRUNED,0:00:23.646694,0.0019500256382760416,9,27,146,49,0.16455694192949005,1.056703662942976
726,0.004603802683916246,COMPLETE,0:00:39.076099,0.0019667254028471306,8,27,157,37,0.1635470256174846,1.0934599928253548
727,1.2656108505196042,PRUNED,0:00:00.564623,0.00195892445846566,22,27,146,49,0.17034272453442736,1.0883369308064728
728,0.35883359445130775,PRUNED,0:00:03.855157,0.0025937279666317643,8,28,156,30,0.20375693239281037,1.2212647740559193
729,0.22544953977754156,PRUNED,0:00:26.018824,0.002417069919898468,9,28,156,31,0.2132960295041792,1.2306793475747921
730,2.197151881892507,PRUNED,0:00:00.215380,0.0012789139018603343,145,78,166,36,0.22000876635728803,1.28347369822754
731,0.004662486319384325,COMPLETE,0:00:28.002395,0.002983252856893953,12,35,158,69,0.16801711203307815,1.0504982967920469
732,0.004109150281460321,COMPLETE,0:00:38.896538,0.0020886494640301088,9,143,154,68,0.16330508704855162,1.0487296740927543
733,1.1520634531974792,PRUNED,0:00:00.603122,0.0030740108481067158,22,143,159,26,0.2244811462030314,1.2235129773967588
734,0.2924431210104753,PRUNED,0:00:07.987978,0.0022700721678687733,12,36,154,22,0.16094881652161744,1.10015677793776
735,0.42620708744133373,PRUNED,0:00:02.858054,0.0015263916622920385,8,20,154,68,0.16629740396435616,1.0909646809343854
736,2.9546802028631554,PRUNED,0:00:00.292534,0.0013866451905989808,76,20,84,22,0.8874594434848472,1.0984411789439263
737,0.3598700366693067,PRUNED,0:00:07.720608,0.002244879758848639,4,35,163,70,0.26465318998931275,1.2617076911912974
738,1.1281519960361028,PRUNED,0:00:00.715995,0.002410253174772464,16,34,163,33,0.2989818345042399,1.2621195118678854
739,0.2242885182678257,PRUNED,0:00:56.513213,0.003087584437654072,4,25,158,30,0.22746528827035833,1.1795475337363504
740,0.0044395137318784614,COMPLETE,0:01:15.348020,0.002912137156956012,4,25,159,29,0.10052877535309636,1.1839466269738779
741,1.887836134365374,PRUNED,0:00:02.601550,0.0011004367947943542,4,154,149,38,1.4695825615073121,1.208029510341333
742,2.1214555496307197,PRUNED,0:00:02.605036,9.281597996338523e-06,4,156,147,37,0.10065482476750869,1.180018878732197
743,1.4230623861395235,PRUNED,0:00:01.399335,0.00033148480838860524,8,157,144,38,0.11921461057278035,1.1776775821815482
744,0.005019398923781865,COMPLETE,0:01:19.010133,0.001570863832174119,4,155,147,35,0.12245276587339436,1.87857907581573
745,2.133407167316127,PRUNED,0:00:02.614594,0.0016455051010398707,4,133,148,33,1.8184376240196163,1.210366912980106
746,1.6846415797467174,PRUNED,0:00:01.393085,0.0016575113223066679,8,164,146,35,1.1915435821747569,1.2056420938646228
747,0.004399689117735572,COMPLETE,0:01:19.939924,0.001419207693014366,4,148,148,81,0.10003570964215863,1.3121513096241417
748,1.9441612171016724,PRUNED,0:00:02.582982,0.0012850265080835246,4,23,144,48,1.6890053558679172,1.3075057917030801
749,0.005291249117578514,COMPLETE,0:01:18.681715,0.0011919577056704366,4,149,141,43,0.10051577921375211,1.1688413555858033
750,0.004629077083365381,COMPLETE,0:01:21.306720,0.0011392455544395768,4,161,141,48,0.10032226926299972,1.1658775964839603
751,1.0999893391542244,PRUNED,0:00:00.817398,0.0015700629359474594,17,148,148,20,0.1346477394057496,1.1678135535332776
752,0.0048077364692825225,COMPLETE,0:00:43.124842,0.0017799113771401116,8,159,153,56,0.12523225485087508,1.2744043152319515
753,1.6474633455276488,PRUNED,0:00:00.209746,0.007587676163781642,203,144,154,64,0.1053225889585364,1.7742942984698078
754,2.255262710831382,PRUNED,0:00:00.408769,0.00014749539821475244,137,158,153,60,0.1334278949088881,1.2919638616915452
755,0.005526875615371863,COMPLETE,0:00:30.876661,0.0018735279448476516,12,142,155,65,0.12344851811506835,1.2614201934881017
756,0.9862639715193737,PRUNED,0:00:01.030976,0.0017894566002163064,12,142,154,66,0.12979143805575444,1.2414846908616182
757,1.0448065298821843,PRUNED,0:00:00.978780,0.002206626567998935,13,147,154,76,0.1926363818355607,1.2407402959556166
758,2.001833605043816,PRUNED,0:00:00.251890,0.0011266777322432833,180,149,151,73,0.10016227983507675,0.9938170301439296
759,1.4355591936753347,PRUNED,0:00:00.797167,0.0012006843625369961,19,151,150,65,0.1852507059808538,0.9728218718882756
760,0.3352547377453255,PRUNED,0:00:02.477210,0.004206551946237265,21,148,161,64,0.19176193249535733,1.1656373579840036
761,1.0299181840234426,PRUNED,0:00:00.667578,0.004446886417613014,21,88,162,65,0.18661147713577414,0.966276020759797
762,1.08099185095893,PRUNED,0:00:00.675047,0.004434256227901765,22,134,161,80,0.15233911664549862,1.1693426264172253
763,0.32063596783640735,PRUNED,0:00:13.004764,0.002860001411136865,4,134,160,23,0.151583268436956,1.1610920449765176
764,0.004822063161883788,COMPLETE,0:01:17.472810,0.0027046063243004455,4,62,158,25,0.13401343738086374,0.48766146297668234
765,1.526623169357857,PRUNED,0:00:00.303793,0.0026622035800721255,67,148,166,25,0.10042916333267365,1.2103524446761325
766,1.0884737405478553,PRUNED,0:00:02.657982,0.0004904544696885533,4,142,157,27,0.13657991040156717,1.2244094869671798
767,0.3649885234763587,PRUNED,0:00:04.059889,0.003209517149908763,8,144,150,59,0.22897567085346676,1.3037990558379284
768,1.1176851619825219,PRUNED,0:00:00.822406,0.0013983135820823506,15,136,157,23,0.14787684387937167,1.1286211470697087
769,0.00543508584802939,COMPLETE,0:00:36.540364,0.0024316996166766254,9,62,153,33,0.10056212941785266,1.1643193383096462
770,0.0047360888225778126,COMPLETE,0:00:38.657075,0.0020396142286213275,9,172,153,70,0.2075850120959991,0.4855165072989328
771,1.2477166954573098,PRUNED,0:00:01.098140,0.0023726990682354614,11,144,153,73,0.5090697186042878,1.579627920476136
772,1.0765620655608628,PRUNED,0:00:00.981577,0.002168701422141762,16,140,166,33,0.2148456289295625,1.2069214352270956
773,1.5414100655100562,PRUNED,0:00:00.538890,0.0014719593211024755,27,139,149,26,0.258745977560624,1.2438757509299718
