trial_number,value,state,duration,lr,batch_size,layer1_size,layer2_size,layer3_size,w_dx,w_dz
218,0.004757110778838575,COMPLETE,0:00:24.598047,0.0025385336997714274,15,58,85,30,0.31034410934909923,0.4482974994104066
219,0.004947666906292768,COMPLETE,0:00:23.269703,0.002624694878305374,15,48,98,22,0.17519044475501705,0.43542734700538893
220,1.1852362696432843,PRUNED,0:00:00.788066,0.0013980595890390405,14,46,99,23,0.22804809854527403,0.43297879199136086
221,0.004808548965997114,COMPLETE,0:01:18.036484,0.0023715675536270337,4,49,90,23,0.2208119360053134,0.23268022042409053
222,0.004170291540770942,COMPLETE,0:01:14.839985,0.002398238129557133,4,49,86,20,0.302417888061244,0.5219799366941191
223,0.004715950555380716,COMPLETE,0:00:39.064874,0.0010959342584250327,8,48,104,23,0.17637380316722837,0.29683993064491926
224,0.0048527507934005756,COMPLETE,0:01:15.971602,0.0015062642954806937,4,51,90,23,0.17335928109371487,0.32917741403858514
225,0.004623231317921648,COMPLETE,0:01:19.354262,0.001060909952509265,4,42,90,23,0.22233608791536988,0.5291497946960577
226,0.004718790508225198,COMPLETE,0:01:15.787748,0.0009456497102724806,4,49,104,24,0.1720966596125817,0.3323570332493578
227,0.30656163160677863,PRUNED,0:00:28.163235,0.0006334011693753444,4,52,104,23,0.2193439821079957,0.33197130694390065
228,0.004426878377706627,COMPLETE,0:01:17.769544,0.0013597277163403206,4,42,103,20,0.23199683116118475,0.3132595641807569
229,0.004529049957294699,COMPLETE,0:01:01.220850,0.0015047729801115903,5,42,90,20,0.22818278101209394,0.3305200153637966
230,0.004805849364669052,COMPLETE,0:00:36.109621,0.0015030710146829236,9,43,89,20,0.22977204085768949,0.4830887206650671
231,0.0045920894529892795,COMPLETE,0:01:01.549216,0.0014452637445581768,5,43,90,20,0.22562659727616088,0.5386741691795495
232,0.5033413917077533,PRUNED,0:00:02.134118,0.0012115079449131095,10,42,91,20,0.1620127029603629,0.5325963010550147
233,0.005166928393832492,COMPLETE,0:01:16.448103,0.0015519138936130091,4,42,92,20,0.1678569327788908,0.5361919940335402
