trial_number,value,state,duration,lr,batch_size
609,1.0181235784036606,PRUNED,0:00:01.154431,0.003844929689541545,34
610,3.8054705429668267,PRUNED,0:00:02.195726,2.6621015266332483e-06,18
611,1.3079768762110406,PRUNED,0:00:01.009111,0.003902092067963594,46
612,0.7869554100604343,PRUNED,0:00:01.969850,0.0040192163963171735,18
613,0.0032070773516015513,COMPLETE,0:00:27.074645,0.004181556587222603,17
614,0.002790191173303172,COMPLETE,0:00:25.331156,0.006326594856986529,18
615,0.8229585760323013,PRUNED,0:00:02.315777,0.002420573880098966,17
616,0.8472064664305711,PRUNED,0:00:02.158537,0.002561221861712342,17
617,0.16747649426815314,PRUNED,0:00:02.840523,0.006612210005709692,29
618,0.0029788794642479563,COMPLETE,0:00:18.082963,0.0063288777326026835,27
619,0.7402338829985783,PRUNED,0:00:01.521110,0.006306114398417756,28
620,0.7448475818629517,PRUNED,0:00:01.756671,0.005666944016911546,22
621,1.121490417612255,PRUNED,0:00:01.109170,0.0047007994275090476,40
622,1.1393640428918217,PRUNED,0:00:01.188858,0.004604166075259068,40
623,2.39921045590596,PRUNED,0:00:00.395679,0.004047560761466839,210
624,0.2959900980014878,PRUNED,0:00:05.448436,0.006914558694914309,14
625,0.27170770203299593,PRUNED,0:00:03.518067,0.006685400978254342,22
626,0.2532222425632448,PRUNED,0:00:03.171619,0.0070499675247058715,21
627,1.650578272814798,PRUNED,0:00:00.406952,0.011730892583245583,174
628,0.17027851725558202,PRUNED,0:00:05.296382,0.005971898504269033,14
629,0.21856870857108548,PRUNED,0:00:05.619919,0.006488953884017243,14
630,0.11436859746886925,PRUNED,0:00:08.918872,0.00508588920582635,18
631,0.7896720791933337,PRUNED,0:00:01.267741,0.005366457682013558,27
632,0.13152317033055122,PRUNED,0:00:03.821100,0.009857836067506568,28
633,0.31313531228689234,PRUNED,0:00:04.006481,0.00918479235881264,16
634,0.2900756811646144,PRUNED,0:00:04.277963,0.009197109830125874,18
635,0.21496550933597913,PRUNED,0:00:04.198845,0.010291437485414289,19
636,0.9915241939412307,PRUNED,0:00:00.752587,0.009606766629072661,55
637,0.00281656120495671,COMPLETE,0:00:20.049680,0.004119086302626791,19
638,0.9694474103527332,PRUNED,0:00:01.091910,0.004227826576013746,32
639,0.3211789021829525,PRUNED,0:00:03.118867,0.012319102674580274,21
640,1.0824267589293388,PRUNED,0:00:01.656669,0.0021861955882867914,25
641,0.3076602299169374,PRUNED,0:00:03.583243,0.01294467369032279,23
642,1.1041498868508115,PRUNED,0:00:01.731343,0.002357431781935054,24
643,3.337616891533844,PRUNED,0:00:01.641716,6.891401283130886e-05,23
644,0.2849167157210272,PRUNED,0:00:03.330582,0.01398937788311051,23
645,1.435778931152722,PRUNED,0:00:03.013271,0.0005927126030715324,12
646,0.09490147821628296,PRUNED,0:00:22.167759,0.0035200670909428054,9
