trial_number,value,state,duration,lr,batch_size,latent_dim,poly_order,lambda1_metaweight
555,0.8217476357049979,PRUNED,0:00:00.949443,0.003046438735367594,25,3,2,1.299875658741738
556,0.8562388671851306,PRUNED,0:00:01.154439,0.0017233720347858068,20,3,2,0.5296701737704913
557,1.6800947524607182,PRUNED,0:00:00.212199,0.0017803640621975611,201,3,2,1.3571984011255904
558,0.8747177288061431,PRUNED,0:00:00.930904,0.002437817526096745,27,3,2,0.7828309475053005
559,0.8564493260953737,PRUNED,0:00:00.994765,0.002783204473730428,28,3,2,0.7902621810798265
560,0.30220050452209196,PRUNED,0:00:05.323469,0.003601634164753563,13,3,2,1.3951821481738487
561,1.7713484345957604,PRUNED,0:00:02.207175,2.8939978682237867e-05,14,3,2,1.3676371378709287
562,0.2570180819041816,PRUNED,0:00:07.079670,0.004484285971099622,13,3,2,1.3983784922337132
563,0.24639486070526273,PRUNED,0:00:08.824189,0.004544321518719774,13,3,2,1.396186051919053
564,0.33634974999549966,PRUNED,0:00:01.957113,0.006573433967029218,20,3,2,1.3873330780318214
565,1.078452288552567,PRUNED,0:00:00.410999,0.004579527091417956,60,3,2,1.454922269790655
566,0.9907187084140985,PRUNED,0:00:00.649926,0.0018957344239040194,35,3,2,0.7431190563029821
567,0.29942522952275247,PRUNED,0:00:03.108141,0.006379428909368431,20,3,2,0.5706660805649727
568,0.2564265383535052,PRUNED,0:00:28.876521,0.0026822113978193325,4,3,2,0.8229463157956297
569,0.2907956835591359,PRUNED,0:00:04.467830,0.002555678719932665,13,3,2,0.8183235194423182
570,0.8266179610319174,PRUNED,0:00:00.946853,0.0026172277398200236,25,3,2,1.3414026631011295
571,0.33933784789028826,PRUNED,0:00:08.782178,0.0025995045260845027,4,3,2,1.3439608689496245
572,0.2663478131822379,PRUNED,0:00:17.652187,0.001997433045263142,4,3,2,0.7205598548341944
573,0.3370906650500458,PRUNED,0:00:04.348935,0.0014796086573300592,8,3,2,0.8188699345625652
574,0.34280732852733475,PRUNED,0:00:05.083420,0.0014402804372339196,7,3,2,0.7277636274654011
575,0.29168730488042943,PRUNED,0:00:07.530287,0.0014708949575964665,7,3,2,0.7316344485337563
576,0.9271742914714952,PRUNED,0:00:00.532425,0.005477965987917218,47,3,2,0.7798007908843159
577,0.8148931954386671,PRUNED,0:00:00.519382,0.012744905200225198,38,2,2,0.8234166419682474
578,0.33873450637809815,PRUNED,0:00:01.248986,0.01004560948022639,34,3,2,0.8123537319636045
579,1.751521962199045,PRUNED,0:00:00.654855,0.00011496332185981598,32,3,2,0.7982534221738311
580,0.005197898346390306,COMPLETE,0:00:21.163027,0.00539842593157423,34,3,2,0.7435508262683125
581,0.8012515886648167,PRUNED,0:00:00.579095,0.005105728441027014,38,3,2,0.7448685172969978
582,0.00623139683432545,COMPLETE,0:00:23.625647,0.00492705684821577,30,3,2,0.7704523125302616
